Alter;Reisetaetigkeit;Abteilung;KmZurArbeit;Ausbildung;PersonalNr;Geschlecht;Verdienst;KostensatzTag;Berufserfahrung;Position;Ehestand;AnzFirmen;ueberstunden;ProzentGehaltserhoehung;StandardHours;AktienOptionen;JahreBerufserfahrung;FortbildungProJahr;WorkLifeBalance;Firmenzugehoerigkeit;DauerLetzteFirmenzugehoerigkeit;Performance;Attrition
40;Selten;Entwicklung;19;2;281;m;2741;905;2;Labortechniker;verheiratet;8;Yes;15;80;1;15;2;4;7;2;3;No
38;Selten;Entwicklung;29;1;282;m;6673;1180;2;Produktmanager;verheiratet;7;Yes;19;80;0;17;2;3;1;0;3;Yes
29;Selten;Vertrieb;27;3;283;w;7639;121;3;Vertrieb;verheiratet;1;No;22;80;3;10;3;2;10;4;4;Yes
22;Selten;Entwicklung;5;3;284;m;2328;1136;1;Wissenschaftler;geschieden;1;Yes;16;80;1;4;2;2;4;2;3;No
36;Haeufig;Entwicklung;18;1;286;w;2153;635;1;Labortechniker;ledig;1;No;13;80;0;8;2;3;8;1;3;No
40;Nie;Entwicklung;9;5;287;m;4876;1151;2;Produktmanager;verheiratet;9;No;14;80;1;5;5;1;3;2;3;No
46;Selten;Entwicklung;1;4;288;m;9396;644;3;Produktmanager;geschieden;7;No;16;80;1;17;3;3;4;2;3;No
32;Selten;Vertrieb;4;4;291;m;10400;1045;3;Vertrieb;verheiratet;1;No;11;80;0;14;2;2;14;8;3;Yes
30;Nie;Entwicklung;1;1;292;m;8474;829;3;Abteilungsleiter;ledig;1;No;22;80;0;12;2;3;11;8;4;No
27;Haeufig;Vertrieb;20;3;293;w;9981;1242;2;Vertrieb;ledig;1;No;14;80;0;7;2;3;7;7;3;No
51;Selten;Entwicklung;8;4;296;m;12490;1469;3;AbteilungsleiterForschung;verheiratet;5;No;16;80;2;16;5;1;10;9;3;No
30;Selten;Entwicklung;3;3;297;w;2657;1005;1;Wissenschaftler;ledig;5;Yes;11;80;0;8;5;3;5;2;3;Yes
41;Selten;Vertrieb;6;3;298;w;13591;896;3;Manager;ledig;3;Yes;18;80;0;16;3;3;1;0;3;No
30;Haeufig;Vertrieb;26;4;299;w;6696;334;2;Vertrieb;ledig;5;No;15;80;0;9;5;2;6;3;3;Yes
29;Selten;Entwicklung;1;3;300;m;2058;992;1;Wissenschaftler;ledig;0;No;14;80;0;7;1;2;6;2;3;Yes
45;Nie;Vertrieb;6;3;302;w;8865;1052;3;Vertrieb;ledig;6;No;12;80;0;23;2;3;19;7;3;No
54;Selten;Vertrieb;3;3;303;w;5940;1147;2;Vertrieb;verheiratet;2;No;14;80;1;16;4;3;6;2;3;No
36;Selten;Entwicklung;5;2;304;m;5914;1396;2;Labortechniker;ledig;8;No;16;80;0;16;3;4;13;11;3;No
33;Selten;Entwicklung;4;4;305;w;2622;147;1;Wissenschaftler;verheiratet;6;No;21;80;0;7;3;3;3;2;4;No
37;Haeufig;Entwicklung;11;3;306;m;12185;663;3;AbteilungsleiterForschung;geschieden;1;Yes;14;80;3;10;1;3;10;8;3;No
38;Selten;Vertrieb;3;3;307;m;10609;119;3;Vertrieb;geschieden;0;No;12;80;2;17;6;2;16;10;3;No
31;Nie;Entwicklung;1;4;308;m;4345;979;2;Abteilungsleiter;verheiratet;0;No;12;80;1;6;2;3;5;4;3;No
59;Selten;Entwicklung;3;3;309;m;2177;142;1;Wissenschaftler;verheiratet;3;No;17;80;1;7;6;3;1;0;3;No
37;Haeufig;Vertrieb;4;4;311;m;2793;319;1;Vertriebsmitarbeiter;geschieden;4;No;17;80;1;13;2;3;9;8;3;No
29;Haeufig;Vertrieb;1;1;312;w;7918;1413;3;Vertrieb;verheiratet;1;No;14;80;1;11;5;3;11;10;3;No
35;Haeufig;Vertrieb;1;3;314;w;8789;944;3;Vertrieb;ledig;1;No;14;80;0;10;3;4;10;7;3;No
29;Selten;Entwicklung;18;1;315;m;2389;896;1;Wissenschaftler;ledig;1;Yes;13;80;0;4;3;2;4;3;3;Yes
52;Selten;Entwicklung;2;3;316;w;3212;1323;1;Labortechniker;ledig;7;No;15;80;0;6;3;2;2;2;3;No
42;Selten;Entwicklung;4;2;319;m;19232;532;5;Manager;verheiratet;1;No;11;80;0;22;3;3;22;17;3;No
59;Selten;Personal;6;2;321;m;2267;818;1;Personal;verheiratet;8;No;17;80;0;7;2;2;2;2;3;No
50;Selten;Vertrieb;1;4;323;w;19517;854;5;Manager;geschieden;3;No;11;80;1;32;3;2;7;0;3;No
33;Selten;Entwicklung;14;3;325;m;2436;813;1;Labortechniker;verheiratet;5;Yes;13;80;1;8;2;1;5;4;3;Yes
43;Selten;Vertrieb;16;3;327;w;16064;1034;4;Manager;verheiratet;5;Yes;22;80;1;22;3;3;17;13;4;No
33;Selten;Entwicklung;2;2;328;w;2707;465;1;Labortechniker;verheiratet;7;No;20;80;0;13;3;4;9;7;4;Yes
52;Nie;Vertrieb;2;4;329;m;19068;771;5;Manager;ledig;1;Yes;18;80;0;33;2;4;33;7;3;No
32;Selten;Vertrieb;4;2;330;w;3931;1401;1;Vertriebsmitarbeiter;verheiratet;2;No;11;80;1;6;5;3;4;3;3;No
32;Selten;Entwicklung;1;3;331;m;3730;515;1;Labortechniker;ledig;0;Yes;14;80;0;4;2;1;3;2;3;Yes
39;Selten;Entwicklung;1;4;332;w;2232;1431;1;Labortechniker;geschieden;7;No;14;80;3;7;1;3;3;2;3;No
32;Nie;Vertrieb;26;4;333;m;4465;976;2;Vertrieb;verheiratet;0;No;18;80;0;4;2;3;3;2;3;No
41;Selten;Entwicklung;19;2;334;m;3072;1411;2;Wissenschaftler;geschieden;2;No;16;80;2;17;2;2;1;0;3;No
40;Selten;Entwicklung;24;2;335;m;3319;1300;2;Wissenschaftler;geschieden;1;No;17;80;2;9;3;3;9;8;3;No
45;Selten;Entwicklung;1;3;336;m;19202;252;5;Manager;verheiratet;0;No;11;80;1;25;2;3;24;0;3;No
31;Haeufig;Entwicklung;3;4;337;m;13675;1327;3;AbteilungsleiterForschung;geschieden;9;No;12;80;1;9;3;3;2;2;3;No
33;Selten;Entwicklung;5;4;338;w;2911;832;1;Wissenschaftler;verheiratet;1;No;13;80;1;2;2;2;2;2;3;No
34;Selten;Entwicklung;2;4;339;m;5957;470;2;Abteilungsleiter;verheiratet;6;No;13;80;1;13;3;3;11;9;3;No
37;Selten;Entwicklung;1;2;340;w;3920;1017;1;Wissenschaftler;verheiratet;2;No;14;80;1;17;2;2;3;1;3;No
45;Haeufig;Entwicklung;7;4;341;m;6434;1199;2;Abteilungsleiter;verheiratet;4;No;17;80;1;9;1;3;3;2;3;No
37;Haeufig;Entwicklung;10;3;342;m;10048;504;3;Abteilungsleiter;geschieden;6;No;11;80;2;17;5;3;1;0;3;Yes
39;Haeufig;Entwicklung;2;4;343;w;10938;505;3;Produktmanager;ledig;0;No;25;80;0;20;1;3;19;6;4;No
29;Selten;Entwicklung;15;3;346;m;2340;665;1;Wissenschaftler;ledig;1;No;19;80;0;6;1;3;6;5;3;No
42;Selten;Entwicklung;17;2;347;w;6545;916;2;Wissenschaftler;ledig;3;Yes;13;80;0;10;1;3;3;2;3;No
29;Selten;Vertrieb;20;2;349;m;6931;1247;2;Vertrieb;geschieden;2;No;14;80;1;10;2;3;3;2;3;No
25;Selten;Entwicklung;1;3;350;w;4898;685;2;Abteilungsleiter;verheiratet;0;No;12;80;2;5;3;3;4;2;3;No
42;Selten;Entwicklung;2;3;351;w;2593;269;1;Labortechniker;geschieden;0;Yes;11;80;1;10;4;3;9;6;3;No
40;Selten;Entwicklung;2;2;352;m;19436;1416;5;AbteilungsleiterForschung;geschieden;0;No;19;80;1;22;5;3;21;7;3;No
51;Selten;Entwicklung;1;3;353;m;2723;833;1;Wissenschaftler;verheiratet;1;No;11;80;0;1;0;2;1;0;3;No
31;Haeufig;Entwicklung;29;2;355;m;3479;307;1;Labortechniker;ledig;0;No;11;80;0;6;2;4;5;4;3;Yes
32;Haeufig;Entwicklung;7;3;359;m;2794;1311;1;Labortechniker;verheiratet;1;No;20;80;0;5;3;1;5;1;4;No
38;Nie;Vertrieb;2;2;361;m;5249;1327;2;Vertrieb;verheiratet;3;No;18;80;1;13;0;3;8;7;3;No
32;Selten;Entwicklung;2;1;362;m;2176;128;2;Labortechniker;ledig;4;No;13;80;0;9;5;3;6;2;3;No
46;Selten;Vertrieb;2;3;363;w;16872;488;4;Manager;verheiratet;3;Yes;12;80;1;28;2;2;7;7;3;No
28;Selten;Entwicklung;2;4;364;m;3485;529;1;Labortechniker;ledig;2;No;11;80;0;5;5;1;0;0;3;Yes
29;Selten;Vertrieb;2;3;366;m;6644;1210;2;Vertrieb;verheiratet;2;No;19;80;2;10;2;3;0;0;3;No
31;Selten;Entwicklung;23;3;367;m;5582;1463;2;Produktmanager;verheiratet;0;No;21;80;1;10;2;3;9;0;4;No
25;Nie;Entwicklung;5;2;369;m;4000;675;2;Produktmanager;geschieden;1;No;12;80;2;6;2;3;6;3;3;No
45;Selten;Entwicklung;20;2;372;m;13496;1385;4;Produktmanager;verheiratet;0;Yes;14;80;0;21;2;3;20;7;3;No
36;Selten;Entwicklung;6;3;373;m;3210;1403;1;Labortechniker;verheiratet;0;No;11;80;1;16;4;3;15;13;3;No
55;Selten;Entwicklung;1;3;374;m;19045;452;5;Manager;ledig;0;Yes;14;80;0;37;2;3;36;10;3;No
47;Nie;Entwicklung;29;4;376;m;11849;666;3;Manager;verheiratet;1;Yes;12;80;1;10;2;2;10;7;3;Yes
28;Selten;Entwicklung;9;3;377;m;2070;1158;1;Wissenschaftler;verheiratet;1;No;23;80;1;5;3;2;5;2;4;No
37;Selten;Vertrieb;6;4;378;m;6502;228;2;Vertrieb;verheiratet;4;No;14;80;1;7;5;4;5;4;3;No
21;Selten;Entwicklung;3;2;379;m;3230;996;1;Wissenschaftler;ledig;1;No;17;80;0;3;4;4;3;2;3;No
37;Nie;Entwicklung;1;4;380;w;13603;728;3;AbteilungsleiterForschung;geschieden;2;Yes;18;80;2;15;2;3;5;2;3;No
35;Selten;Entwicklung;22;3;381;w;11996;1315;3;Manager;geschieden;7;No;18;80;1;10;6;2;7;7;3;No
38;Selten;Vertrieb;7;2;382;w;5605;322;2;Vertrieb;geschieden;1;Yes;24;80;1;8;3;3;8;0;4;No
26;Haeufig;Entwicklung;1;3;384;w;6397;1479;2;Abteilungsleiter;geschieden;1;No;20;80;1;6;6;1;6;5;4;No
50;Selten;Entwicklung;4;1;385;m;19144;797;5;AbteilungsleiterForschung;geschieden;3;No;14;80;2;28;4;2;10;4;3;No
53;Selten;Entwicklung;3;4;386;m;17584;1070;4;AbteilungsleiterForschung;verheiratet;3;Yes;16;80;3;21;5;2;5;3;3;No
42;Selten;Vertrieb;1;1;387;m;4907;635;2;Vertrieb;verheiratet;1;No;25;80;0;20;3;3;20;16;4;No
29;Haeufig;Vertrieb;2;2;388;m;4554;442;2;Vertrieb;ledig;1;No;18;80;0;10;3;2;10;7;3;No
55;Selten;Entwicklung;20;2;389;m;5415;147;2;Labortechniker;verheiratet;3;Yes;19;80;1;12;4;3;10;7;3;No
26;Haeufig;Entwicklung;11;2;390;m;4741;496;2;Produktmanager;verheiratet;1;Yes;13;80;1;5;3;3;5;3;3;No
37;Selten;Entwicklung;1;3;391;w;2115;1372;1;Wissenschaftler;ledig;1;No;12;80;0;17;3;3;17;12;3;No
44;Haeufig;Entwicklung;24;3;392;m;3161;920;1;Labortechniker;geschieden;3;Yes;22;80;1;19;0;1;1;0;4;Yes
38;Selten;Entwicklung;23;4;393;m;5745;688;2;Produktmanager;geschieden;9;No;14;80;1;10;2;3;2;2;3;No
26;Selten;Entwicklung;16;4;394;m;2373;1449;1;Labortechniker;geschieden;2;Yes;13;80;1;5;2;3;3;2;3;Yes
28;Selten;Entwicklung;8;2;395;w;3310;1117;1;Wissenschaftler;ledig;1;No;21;80;0;5;3;3;5;3;4;No
49;Haeufig;Entwicklung;10;4;396;w;18665;636;5;AbteilungsleiterForschung;ledig;9;Yes;11;80;0;22;4;3;3;2;3;No
36;Selten;Entwicklung;3;3;397;m;4485;506;2;Wissenschaftler;ledig;4;No;12;80;0;10;2;3;8;0;3;No
31;Haeufig;Vertrieb;5;3;399;w;2789;444;1;Vertriebsmitarbeiter;geschieden;1;No;11;80;1;2;5;2;2;2;3;No
26;Selten;Vertrieb;4;4;401;m;5828;950;2;Vertrieb;ledig;1;Yes;12;80;0;8;0;3;8;7;3;Yes
37;Haeufig;Entwicklung;9;3;403;m;2326;889;1;Wissenschaftler;verheiratet;1;Yes;12;80;3;4;3;2;4;2;3;No
42;Haeufig;Vertrieb;26;3;404;w;13525;555;4;Vertrieb;verheiratet;5;No;14;80;1;23;2;4;20;4;3;No
18;Selten;Entwicklung;3;3;405;m;1420;230;1;Labortechniker;ledig;1;No;13;80;0;0;2;3;0;0;3;Yes
35;Selten;Vertrieb;16;3;406;m;8020;1232;3;Vertrieb;verheiratet;0;No;15;80;2;12;3;2;11;9;3;No
36;Haeufig;Entwicklung;18;4;407;m;3688;566;1;Labortechniker;verheiratet;4;No;18;80;2;4;2;3;1;0;3;No
51;Selten;Entwicklung;2;3;408;m;5482;1302;2;Abteilungsleiter;geschieden;5;No;18;80;1;13;3;3;4;1;3;No
41;Selten;Vertrieb;2;4;410;m;16015;334;4;Manager;ledig;1;No;19;80;0;22;2;3;22;10;3;No
18;Selten;Vertrieb;10;3;411;w;1200;812;1;Vertriebsmitarbeiter;ledig;1;No;12;80;0;0;2;3;0;0;3;No
28;Selten;Entwicklung;16;2;412;m;5661;1476;2;Produktmanager;ledig;0;No;19;80;0;9;2;3;8;3;3;No
31;Selten;Vertrieb;7;3;416;m;6929;218;2;Vertrieb;verheiratet;4;No;11;80;1;10;3;2;8;7;3;No
39;Selten;Entwicklung;1;3;417;m;9613;1132;3;Produktmanager;geschieden;0;No;17;80;3;19;5;2;18;10;3;No
36;Nie;Entwicklung;24;4;419;w;5674;1105;2;Labortechniker;verheiratet;7;No;15;80;1;11;3;3;9;8;3;No
32;Selten;Vertrieb;7;3;420;m;5484;906;2;Vertrieb;verheiratet;1;No;14;80;1;13;3;2;13;8;3;No
38;Selten;Entwicklung;25;2;421;w;12061;849;3;AbteilungsleiterForschung;verheiratet;3;No;17;80;1;19;2;3;10;8;3;No
58;Nie;Entwicklung;1;4;422;m;5660;390;2;Produktmanager;geschieden;2;Yes;13;80;1;12;2;3;5;3;3;No
31;Selten;Entwicklung;5;4;423;m;4821;691;1;Wissenschaftler;verheiratet;0;Yes;12;80;1;6;4;3;5;2;3;No
31;Selten;Personal;2;3;424;m;6410;106;2;Personal;verheiratet;3;No;12;80;0;9;1;3;2;2;3;No
45;Haeufig;Entwicklung;7;3;425;m;5210;1249;3;Labortechniker;geschieden;1;No;18;80;1;24;2;3;24;9;3;No
31;Selten;Entwicklung;2;4;426;m;2695;192;1;Wissenschaftler;geschieden;0;Yes;18;80;1;3;2;1;2;2;3;No
33;Haeufig;Entwicklung;5;4;428;w;11878;553;3;Manager;verheiratet;6;No;11;80;2;12;2;3;10;6;3;No
39;Selten;Entwicklung;10;1;429;m;17068;117;4;Manager;verheiratet;1;Yes;14;80;0;21;3;3;21;9;3;No
43;Haeufig;Entwicklung;10;4;430;w;2455;185;1;Labortechniker;ledig;0;No;19;80;0;9;5;3;8;7;3;No
49;Selten;Entwicklung;1;2;431;w;13964;1091;4;Produktmanager;ledig;7;Yes;12;80;0;25;2;3;7;1;3;No
52;Selten;Entwicklung;8;4;433;m;4941;723;2;Wissenschaftler;verheiratet;2;No;15;80;0;11;3;2;8;2;3;Yes
27;Selten;Entwicklung;5;3;434;w;2478;1220;1;Wissenschaftler;ledig;1;Yes;12;80;0;4;2;2;4;3;3;No
32;Selten;Vertrieb;8;2;436;w;5228;588;2;Vertrieb;verheiratet;1;Yes;11;80;0;13;2;3;13;12;3;No
27;Selten;Vertrieb;2;3;437;m;4478;1377;2;Vertrieb;ledig;1;Yes;11;80;0;5;3;3;5;4;3;No
31;Selten;Vertrieb;7;3;438;m;7547;691;2;Vertrieb;geschieden;4;No;12;80;3;13;3;3;7;7;3;No
32;Selten;Entwicklung;2;4;439;w;5055;1018;2;Wissenschaftler;ledig;7;No;16;80;0;10;0;2;7;7;3;No
28;Selten;Entwicklung;2;4;440;m;3464;1157;1;Wissenschaftler;verheiratet;5;Yes;13;80;0;5;4;2;3;2;3;Yes
30;Selten;Entwicklung;28;2;441;w;5775;1275;2;Wissenschaftler;verheiratet;1;No;13;80;2;11;2;3;10;8;3;No
31;Haeufig;Entwicklung;7;2;442;w;8943;798;3;Abteilungsleiter;verheiratet;1;No;24;80;1;10;2;3;10;9;4;No
39;Haeufig;Entwicklung;7;2;444;m;19272;672;5;Manager;verheiratet;1;No;15;80;1;21;2;3;21;9;3;No
39;Selten;Vertrieb;3;2;445;w;5238;1162;2;Vertrieb;verheiratet;4;Yes;18;80;0;12;3;2;1;0;3;Yes
33;Haeufig;Vertrieb;10;3;446;m;4682;508;2;Vertrieb;ledig;3;No;14;80;0;9;6;2;7;7;3;No
47;Selten;Entwicklung;5;5;447;m;18300;1482;5;AbteilungsleiterForschung;verheiratet;4;No;11;80;1;21;2;3;3;2;3;No
43;Haeufig;Entwicklung;10;4;448;w;5257;559;2;Labortechniker;geschieden;1;No;11;80;1;9;3;4;9;7;3;No
27;Nie;Vertrieb;1;1;449;m;6349;210;2;Vertrieb;verheiratet;0;Yes;13;80;1;6;0;3;5;4;3;No
54;Haeufig;Entwicklung;20;4;450;w;4869;928;2;Wissenschaftler;ledig;3;No;12;80;0;20;4;2;4;3;3;No
43;Selten;Entwicklung;7;3;451;w;9985;1001;3;Produktmanager;verheiratet;8;No;16;80;1;10;1;2;1;0;3;No
45;Selten;Entwicklung;8;4;452;m;3697;549;2;Wissenschaftler;verheiratet;9;No;14;80;2;12;3;3;10;9;3;No
40;Selten;Vertrieb;1;2;453;m;7457;1124;2;Vertrieb;verheiratet;2;Yes;22;80;3;6;2;2;4;3;4;No
29;Selten;Entwicklung;8;4;454;m;2119;318;1;Labortechniker;verheiratet;1;Yes;11;80;0;7;4;2;7;7;3;Yes
29;Selten;Entwicklung;9;5;455;m;3983;738;1;Labortechniker;ledig;0;No;17;80;0;4;2;3;3;2;3;No
30;Selten;Vertrieb;5;3;456;w;6118;570;2;Vertrieb;geschieden;1;No;13;80;3;10;2;3;10;9;3;No
27;Selten;Vertrieb;8;4;458;w;6214;1130;2;Vertrieb;verheiratet;1;No;18;80;1;8;3;3;8;7;3;No
37;Selten;Entwicklung;5;2;460;m;6347;1192;2;Abteilungsleiter;geschieden;7;No;16;80;2;8;2;2;6;2;3;No
38;Selten;Entwicklung;15;2;461;m;11510;343;3;AbteilungsleiterForschung;geschieden;0;Yes;14;80;1;12;3;3;11;10;3;No
31;Selten;Entwicklung;7;4;462;w;7143;1232;3;Abteilungsleiter;ledig;1;Yes;14;80;0;11;2;2;11;9;3;No
29;Selten;Vertrieb;10;1;463;w;8268;144;2;Vertrieb;geschieden;1;Yes;14;80;2;7;2;3;7;7;3;No
35;Selten;Entwicklung;5;4;464;m;8095;1296;3;Abteilungsleiter;ledig;0;No;13;80;0;17;5;3;16;6;3;No
23;Selten;Entwicklung;26;1;465;m;2904;1309;1;Wissenschaftler;geschieden;1;No;12;80;2;4;2;2;4;2;3;No
41;Selten;Entwicklung;6;3;466;m;6032;483;2;Abteilungsleiter;ledig;6;Yes;15;80;0;8;3;3;5;4;3;No
47;Haeufig;Vertrieb;4;1;467;m;2976;1309;2;Vertriebsmitarbeiter;ledig;3;No;19;80;0;5;3;3;0;0;3;No
42;Selten;Entwicklung;23;5;468;w;15992;810;4;AbteilungsleiterForschung;ledig;2;No;14;80;0;16;2;3;1;0;3;No
29;Nie;Vertrieb;2;3;469;m;4649;746;2;Vertrieb;verheiratet;1;No;14;80;1;4;3;2;4;3;3;No
42;Selten;Personal;2;1;470;m;2696;544;1;Personal;geschieden;0;Yes;11;80;1;4;5;3;3;2;3;No
32;Selten;Entwicklung;2;3;471;w;2370;1062;1;Labortechniker;verheiratet;1;No;13;80;1;8;4;3;8;0;3;No
48;Selten;Vertrieb;29;1;473;w;12504;530;3;Manager;verheiratet;3;No;21;80;1;15;3;1;0;0;4;No
37;Selten;Entwicklung;6;3;474;m;5974;1319;2;Wissenschaftler;geschieden;4;Yes;13;80;2;13;2;3;7;7;3;No
30;Nie;Vertrieb;25;2;475;w;4736;641;2;Vertrieb;verheiratet;7;Yes;12;80;1;4;2;4;2;2;3;No
26;Selten;Vertrieb;1;3;476;m;5296;933;2;Vertrieb;verheiratet;1;No;17;80;1;8;3;3;8;7;3;No
42;Selten;Entwicklung;2;4;477;m;6781;1332;2;Produktmanager;ledig;3;No;23;80;0;14;6;3;1;0;4;No
21;Haeufig;Vertrieb;1;1;478;w;2174;756;1;Vertriebsmitarbeiter;ledig;1;Yes;11;80;0;3;3;3;3;2;3;Yes
36;Nie;Vertrieb;1;5;479;w;6653;845;2;Vertrieb;ledig;4;No;15;80;0;7;6;3;1;0;3;No
36;Haeufig;Vertrieb;3;4;481;m;9699;541;3;Vertrieb;verheiratet;4;No;11;80;1;16;2;3;13;9;3;No
57;Selten;Entwicklung;1;4;482;m;6755;593;2;Produktmanager;verheiratet;2;No;11;80;0;15;2;3;3;2;3;No
40;Selten;Entwicklung;10;4;483;w;2213;1171;1;Labortechniker;verheiratet;3;Yes;13;80;1;10;3;3;7;7;3;No
21;Nie;Vertrieb;9;2;484;m;2610;895;1;Vertriebsmitarbeiter;ledig;1;No;24;80;0;3;3;2;3;2;4;No
33;Selten;Vertrieb;5;3;485;w;2851;350;1;Vertriebsmitarbeiter;ledig;1;Yes;13;80;0;1;2;3;1;0;3;Yes
37;Selten;Entwicklung;10;3;486;w;3452;921;1;Labortechniker;verheiratet;6;No;20;80;1;17;3;3;5;4;4;No
46;Nie;Entwicklung;7;4;487;w;5258;1144;2;Abteilungsleiter;verheiratet;2;No;14;80;0;7;2;4;1;0;3;No
41;Haeufig;Vertrieb;4;3;488;m;9355;143;2;Vertrieb;ledig;1;No;18;80;0;8;5;3;8;7;3;Yes
50;Selten;Entwicklung;10;3;491;m;10496;1046;3;Produktmanager;ledig;6;No;15;80;0;20;2;3;4;3;3;No
40;Selten;Vertrieb;22;2;492;m;6380;575;2;Vertrieb;verheiratet;2;Yes;12;80;2;8;6;3;6;4;3;Yes
31;Selten;Entwicklung;9;4;493;m;2657;408;1;Wissenschaftler;ledig;0;Yes;16;80;0;3;5;3;2;2;3;No
21;Selten;Vertrieb;12;3;494;w;2716;156;1;Vertriebsmitarbeiter;ledig;1;No;15;80;0;1;0;3;1;0;3;Yes
29;Selten;Entwicklung;23;3;495;m;2201;1283;1;Wissenschaftler;ledig;9;No;16;80;0;6;4;3;3;2;3;No
35;Selten;Entwicklung;9;4;496;m;6540;755;2;Produktmanager;ledig;9;No;19;80;0;10;5;3;1;1;3;No
27;Selten;Entwicklung;1;2;497;m;3816;1469;1;Labortechniker;geschieden;1;No;11;80;1;5;2;3;5;2;3;No
28;Selten;Vertrieb;9;4;498;m;5253;304;2;Vertrieb;ledig;1;No;16;80;0;7;1;3;7;5;3;No
49;Selten;Entwicklung;7;3;499;m;10965;1261;3;Produktmanager;ledig;8;No;24;80;0;26;2;3;5;2;4;No
51;Selten;Vertrieb;14;2;500;w;4936;1178;2;Vertrieb;verheiratet;4;No;11;80;1;18;2;2;7;7;3;No
36;Selten;Entwicklung;2;3;501;w;2543;329;1;Wissenschaftler;verheiratet;4;No;13;80;1;6;3;3;2;2;3;No
34;Nie;Vertrieb;19;3;502;m;5304;1362;2;Vertrieb;ledig;8;Yes;13;80;0;9;3;2;5;2;3;Yes
55;Selten;Entwicklung;2;3;505;w;16659;1311;4;Manager;ledig;2;Yes;13;80;0;30;2;3;5;4;3;No
24;Selten;Vertrieb;10;4;507;w;4260;1371;2;Vertrieb;geschieden;1;Yes;12;80;1;5;2;4;5;2;3;No
30;Selten;Vertrieb;2;1;508;m;2476;202;1;Vertriebsmitarbeiter;verheiratet;1;No;18;80;1;1;3;3;1;0;3;No
26;Haeufig;Entwicklung;3;1;510;m;3102;575;1;Wissenschaftler;ledig;0;No;22;80;0;7;2;3;6;4;4;Yes
22;Selten;Entwicklung;11;3;511;w;2244;253;1;Wissenschaftler;verheiratet;1;No;13;80;1;2;1;3;2;1;3;No
36;Selten;Vertrieb;2;2;513;m;7596;164;3;Vertrieb;verheiratet;1;No;13;80;2;10;2;3;10;9;3;No
30;Haeufig;Entwicklung;4;3;514;m;2285;464;1;Wissenschaftler;ledig;9;Yes;23;80;0;3;4;3;1;0;4;Yes
37;Selten;Entwicklung;14;3;515;w;3034;1107;1;Labortechniker;geschieden;1;No;12;80;1;18;2;2;18;7;3;No
40;Selten;Vertrieb;2;2;516;w;5715;759;2;Vertrieb;geschieden;7;No;12;80;2;8;5;3;5;4;3;No
42;Selten;Entwicklung;1;4;517;w;2576;201;1;Labortechniker;geschieden;3;No;16;80;1;8;5;3;5;2;3;No
37;Selten;Entwicklung;10;4;518;m;4197;1305;2;Abteilungsleiter;ledig;2;Yes;12;80;0;18;2;2;1;0;3;No
43;Selten;Entwicklung;12;3;520;m;14336;982;4;AbteilungsleiterForschung;geschieden;1;No;11;80;1;25;3;3;25;10;3;No
40;Selten;Entwicklung;2;3;521;w;3448;555;2;Labortechniker;verheiratet;6;No;22;80;1;20;3;3;1;0;4;No
54;Selten;Entwicklung;5;2;522;m;19406;821;5;AbteilungsleiterForschung;verheiratet;4;No;11;80;1;24;4;2;4;2;3;No
34;Nie;Vertrieb;4;4;523;w;6538;1381;2;Vertrieb;verheiratet;9;No;15;80;1;6;3;3;3;2;3;No
31;Selten;Entwicklung;7;2;524;w;4306;480;2;Abteilungsleiter;verheiratet;1;No;12;80;1;13;5;1;13;10;3;No
43;Haeufig;Entwicklung;21;3;525;m;2258;313;1;Labortechniker;verheiratet;7;No;20;80;1;8;1;3;3;2;4;No
43;Selten;Entwicklung;8;4;526;w;4522;1473;2;Produktmanager;geschieden;4;Yes;14;80;0;8;3;3;5;2;3;No
25;Selten;Vertrieb;4;2;527;w;4487;891;2;Vertrieb;ledig;1;Yes;11;80;0;5;3;3;5;4;3;No
37;Nie;Entwicklung;25;5;529;w;4449;1063;2;Wissenschaftler;verheiratet;3;Yes;15;80;2;15;2;3;13;11;3;No
31;Selten;Entwicklung;1;2;530;m;2218;329;1;Labortechniker;verheiratet;1;No;12;80;1;4;3;3;4;2;3;No
39;Haeufig;Entwicklung;1;1;531;m;19197;1218;5;Manager;geschieden;1;Yes;14;80;1;21;3;3;21;8;3;No
56;Haeufig;Vertrieb;6;3;532;w;13212;906;4;Vertrieb;verheiratet;9;No;11;80;3;36;0;2;7;7;3;No
30;Selten;Vertrieb;12;3;533;w;6577;1082;2;Vertrieb;ledig;0;No;11;80;0;6;6;3;5;4;3;No
41;Selten;Vertrieb;1;3;534;m;8392;645;3;Vertrieb;verheiratet;1;No;16;80;1;10;2;3;10;7;3;No
28;Selten;Entwicklung;17;2;536;m;4558;1300;2;Labortechniker;geschieden;1;No;12;80;1;10;2;3;10;0;3;No
25;Selten;Entwicklung;3;3;538;m;4031;688;1;Labortechniker;verheiratet;5;No;13;80;1;6;5;3;2;2;3;Yes
52;Selten;Entwicklung;3;3;543;m;7969;319;3;Abteilungsleiter;verheiratet;2;Yes;14;80;0;28;4;3;5;4;3;No
45;Selten;Entwicklung;10;2;544;m;2654;192;1;Wissenschaftler;verheiratet;3;No;21;80;2;8;3;2;2;2;4;No
52;Selten;Entwicklung;4;2;546;w;16555;1490;4;Manager;verheiratet;2;No;13;80;0;31;2;1;5;2;3;No
